item_code,statement_type,item_name_clean,item_name_raw,stage2_role,stage2_name_match,is_summary,indent_level,non_missing_rate,non_missing_count,unit_inferred,candidate_role_hint,status,fix_note,original_column_name,sample_min,sample_p1,sample_median,sample_p99,sample_max
U04B100026600,손익계산서,자산관리수수료,자산관리수수료,,,False,0,0.04,190,천원,,OK,,[U04B100026600]      자산관리수수료(IFRS)(천원),0.0,0.0,1395357.0,42330186.95999946,96887764.0
U04B100026700,손익계산서,매수및합병수수료,매수및합병수수료,,,False,0,0.04,190,천원,,OK,,[U04B100026700]      매수및합병수수료(IFRS)(천원),0.0,0.0,0.0,80561797.09999987,134102268.0
U04B100026800,손익계산서,기타자문수수료,기타자문수수료,,,False,0,0.04,190,천원,,OK,,[U04B100026800]      기타자문수수료(IFRS)(천원),0.0,0.0,0.0,62343503.63999997,76062854.0
U04B100026900,손익계산서,파생결합증권판매수수료,파생결합증권판매수수료,,,False,0,0.04,190,천원,,OK,,[U04B100026900]      파생결합증권판매수수료(IFRS)(천원),0.0,0.0,0.0,85707182.69999985,101240820.0
U04B100027000,손익계산서,양도성예금증서중개수수료,양도성예금증서중개수수료,,,False,0,0.04,190,천원,,OK,,[U04B100027000]      양도성예금증서중개수수료(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U04B100027100,손익계산서,기업융통어음중개수수료,기업융통어음중개수수료,,,False,0,0.04,190,천원,,OK,,[U04B100027100]      기업융통어음중개수수료(IFRS)(천원),0.0,0.0,0.0,0.1099999999999852,43818490.0
U04B100027200,손익계산서,신탁보수,신탁보수,,,False,0,0.04,190,천원,,OK,,[U04B100027200]      신탁보수(IFRS)(천원),0.0,0.0,3970334.0,32057808.42999986,52685000.0
U04B100027300,손익계산서,기타수수료수익,기타수수료수익,,,False,0,0.04,190,천원,,OK,,[U04B100027300]      기타수수료수익(IFRS)(천원),4880.0,64396.9,17412114.0,476542625.5299993,565116021.0
U04B100027400,손익계산서,(수수료비용),(수수료비용),,,True,0,0.04,190,천원,,OK,,[U04B100027400]   (수수료비용)(*)(IFRS)(천원),625679.0,985639.6,15211218.0,230285236.14999968,263359677.0
U04B100027500,손익계산서,매매수수료,매매수수료,,,False,0,0.04,190,천원,,OK,,[U04B100027500]      매매수수료(IFRS)(천원),0.0,520752.3500000001,6938510.0,185656968.48,221545879.0
U04B100027600,손익계산서,투자상담사수수료,투자상담사수수료,,,False,0,0.04,190,천원,,OK,,[U04B100027600]      투자상담사수수료(IFRS)(천원),0.0,0.0,134311.0,17015444.709999967,21879888.0
U04B100027700,손익계산서,기타수수료비용,기타수수료비용,,,False,0,0.04,190,천원,,OK,,[U04B100027700]      기타수수료비용(IFRS)(천원),0.0,0.0,6482402.0,95222960.74,112024893.0
U04B100028000,손익계산서,기타 수수료손익,기타 수수료손익,,,False,0,0.04,190,천원,,OK,,[U04B100028000]   기타 수수료손익(IFRS)(천원),0.0,0.0,0.0,0.0,0.0
U04B200000000,손익계산서,금융상품 관련 손익,금융상품 관련 손익,,,True,0,0.04,190,천원,,OK,,[U04B200000000]금융상품 관련 손익(*)(IFRS)(천원),-645602051.0,-430417933.82,9992327.5,379414010.5499998,424685861.0
U04B201000000,손익계산서,금융상품 관련이익,금융상품 관련이익,,,True,0,0.04,190,천원,,OK,,[U04B201000000]   금융상품 관련이익(*)(IFRS)(천원),26659338.0,58939502.36,356988179.5,13663843647.949903,51004323571.0
U04B201010000,손익계산서,당기손익인식(지정)금융자산평가이익,당기손익인식(지정)금융자산평가이익,,,False,0,0.04,190,천원,,OK,,[U04B201010000]      당기손익인식(지정)금융자산평가이익(IFRS)(천원),0.0,0.0,0.0,155502702.3199997,346347991.0
U04B201010100,손익계산서,당기손익인식(지정)금융자산매매이익,당기손익인식(지정)금융자산매매이익,,,False,0,0.04,190,천원,,OK,,[U04B201010100]      당기손익인식(지정)금융자산매매이익(IFRS)(천원),0.0,0.0,0.0,97317110.20999968,172537619.0
U04B201010200,손익계산서,당기손익인식(지정)금융자산관련이익,당기손익인식(지정)금융자산관련이익,,,False,0,0.04,190,천원,,OK,,[U04B201010200]      당기손익인식(지정)금융자산관련이익(IFRS)(천원),0.0,0.0,0.0,228808709.7199997,341001150.0
U04B201010300,손익계산서,당기손익-공정가치측정 금융자산평가이익,당기손익-공정가치측정 금융자산평가이익,,,False,0,0.0181,86,천원,,OK,,[U04B201010300]      당기손익-공정가치측정 금융자산평가이익(IFRS)(천원),0.0,0.0,43209243.0,909048537.5500016,1156245943.0
U04B201010400,손익계산서,당기손익-공정가치측정 금융자산처분이익,당기손익-공정가치측정 금융자산처분이익,,,False,0,0.0181,86,천원,,OK,,[U04B201010400]      당기손익-공정가치측정 금융자산처분이익(IFRS)(천원),0.0,0.0,168533424.5,1349804318.250002,1624989621.0
U04B201010500,손익계산서,당기손익-공정가치측정 금융자산관련이익,당기손익-공정가치측정 금융자산관련이익,,,False,0,0.0181,86,천원,,OK,,[U04B201010500]      당기손익-공정가치측정 금융자산관련이익(IFRS)(천원),0.0,0.0,0.0,822535692.7500005,897754135.0
