category,variable_id,variable_name,source,rank,score,direction,direction_weak,spearman_rho,selected_eligible,selected_eligibility_source,growth_main_eligible_v3_2,growth_denom_instability,growth_exclusion_reason_v3_2,candidate_pool_contract_version,expected_direction_raw,expected_direction_contract,expected_direction_consistent,expected_direction_conflict,simulator_computable,simulator_exclusion_reason,canonical_variable_id,is_canonical_ratio
수익성,R006,R006,financial,1,1.0,value_up_good,False,-0.3494430765039016,True,stage00_02_quality_pool,False,False,,stage00_02_canonical_candidate_pool_to_stage00_04_v2,높을수록 우량,higher_is_better,True,False,True,,R006,True
안정성,R064,R064,financial,1,1.0,value_up_good,False,-0.4587419773235571,True,stage00_02_quality_pool,False,False,,stage00_02_canonical_candidate_pool_to_stage00_04_v2,높을수록 우량,higher_is_better,True,False,True,,R064,True
부채상환능력,R085,R085,financial,1,1.0,value_down_good,False,0.40150281537624505,True,stage00_02_quality_pool,False,False,,stage00_02_canonical_candidate_pool_to_stage00_04_v2,낮을수록 우량,higher_is_worse,True,False,True,,R085,True
유동성,R116,R116,financial,1,0.7,value_up_good,False,-0.24291934166417178,True,stage00_02_quality_pool,False,False,,stage00_02_canonical_candidate_pool_to_stage00_04_v2,높을수록 우량,higher_is_better,True,False,True,,R116,True
활동성,R157,R157,financial,1,0.5,value_up_good,False,-0.39632711888616895,True,stage00_02_quality_pool,False,False,,stage00_02_canonical_candidate_pool_to_stage00_04_v2,상황별,empirical,,False,True,,R157,True
성장성,R182,R182,financial,1,0.7,value_up_good,False,-0.15427725424297214,True,stage00_02_growth_audit_main_eligible_v3_2,True,False,,stage00_02_canonical_candidate_pool_to_stage00_04_v2,상황별,empirical,,False,True,,R182,True
경영위험,cap_change_count_3y,cap_change_count_3y,nonfinancial,1,0.9337199821746809,value_down_good,False,0.19769708900280875,True,stage00_03_nonfinancial_candidate_pool,False,False,,,higher_is_worse,higher_is_worse,True,False,True,,cap_change_count_3y,True
영업위험,log_assets,log_assets,nonfinancial,1,0.6,value_up_good,False,-0.4709588767156336,True,stage00_03_nonfinancial_candidate_pool,False,False,,,higher_is_better,higher_is_better,True,False,True,,log_assets,True
재무위험,operating_loss_freq_3y,operating_loss_freq_3y,nonfinancial,1,0.9,value_down_good,False,0.36820534397627314,True,stage00_03_nonfinancial_candidate_pool,False,False,,,higher_is_worse,higher_is_worse,True,False,True,,operating_loss_freq_3y,True
