model,budget,contrast,oracle,N,estimate,ci_low,ci_high,raw_p,neg,holm_p
google_gemini31flashlite,B1,C4R-C4,alpha,575,-0.010171585911697123,-0.04290903982012448,0.020920906394973342,0.5293470652934706,7354,1.0
google_gemini31flashlite,BINF,C4R-C4,alpha,575,0.14488794574821137,0.09138015074527105,0.2009250485972086,0.00019998000199980003,0,0.0015998400159984002
google_gemini31flashlite,B1,C5-C4,alpha,575,0.06486938817008459,0.005131264693612824,0.12496984149211465,0.030796920307969204,153,0.1847815218478152
google_gemini31flashlite,BINF,C5-C4,alpha,575,-0.06524306028255217,-0.1513685994476091,0.01993289066307458,0.137986201379862,9311,0.6899310068993101
google_gemini31flashlite,B1,C6-E-C4R,alpha,575,0.08972150246287806,0.040756945820926,0.14051615383244945,0.00039996000399960006,1,0.0027997200279972004
google_gemini31flashlite,BINF,C6-E-C4R,alpha,575,0.04308531628248281,-0.018817423503879733,0.10529011690330208,0.1715828417158284,857,0.6899310068993101
google_gemini31flashlite,B1,C6-E-C6-EX,alpha,575,0.04122349767621988,-0.013359241316499137,0.09859273055711751,0.1411858814118588,705,0.6899310068993101
google_gemini31flashlite,BINF,C6-E-C6-EX,alpha,575,0.015324489929430718,-0.040495012506656915,0.07236577446924905,0.6007399260073992,3003,1.0
google_gemini31flashlite,B1,C4R-C4,beta,575,-0.0013103484056153703,-0.004088959626220453,0.001333515634487364,0.33896610338966104,8306,1.0
google_gemini31flashlite,BINF,C4R-C4,beta,575,0.030191115246802666,0.014056277099706738,0.051327061598630555,0.00019998000199980003,0,0.0015998400159984002
google_gemini31flashlite,B1,C5-C4,beta,575,0.014010921645805696,-0.004785643076656713,0.03481788196989496,0.15158484151584842,757,0.9095090490950906
google_gemini31flashlite,BINF,C5-C4,beta,575,-0.0007981189027952246,-0.033845649857394744,0.032661105849238196,0.9649035096490352,5176,1.0
google_gemini31flashlite,B1,C6-E-C4R,beta,575,0.01563793599114854,0.006037823221872437,0.028303338235611906,0.0007999200079992001,3,0.005599440055994401
google_gemini31flashlite,BINF,C6-E-C4R,beta,575,0.012000334773419483,-0.015696370810553285,0.03886796002683725,0.38576142385761425,1928,1.0
google_gemini31flashlite,B1,C6-E-C6-EX,beta,575,0.004314020669464861,-0.0021365564324645273,0.010457900514097463,0.17998200179982002,899,0.9095090490950906
google_gemini31flashlite,BINF,C6-E-C6-EX,beta,575,-0.00023959025467020227,-0.01921878922519712,0.014878450894080207,0.9667033296670333,4833,1.0
google_gemini31flashlite,B1,C4R-C4,gamma,575,0.0036267184990259444,-0.00866003858422211,0.016295323477252335,0.5521447855214479,2760,1.0
google_gemini31flashlite,BINF,C4R-C4,gamma,575,0.012227022792437457,-0.0018515578093984818,0.0272297219195051,0.09519048095190481,475,0.47595240475952405
google_gemini31flashlite,B1,C5-C4,gamma,575,0.014425191456725573,-0.015310840867215883,0.04372819735626242,0.3601639836016398,1800,1.0
google_gemini31flashlite,BINF,C5-C4,gamma,575,-0.018525016284501938,-0.05485806891305013,0.016659681843535612,0.3117688231176882,8442,1.0
google_gemini31flashlite,B1,C6-E-C4R,gamma,575,0.02217441972532843,0.0018992037525231598,0.04437838067347707,0.031796820317968204,158,0.22257774222577742
google_gemini31flashlite,BINF,C6-E-C4R,gamma,575,0.04274129291816281,0.022063186667517023,0.06464785294164495,0.00019998000199980003,0,0.0015998400159984002
google_gemini31flashlite,B1,C6-E-C6-EX,gamma,575,0.0114101597553352,-0.010750547220314696,0.03443463622916948,0.32156784321567844,1607,1.0
google_gemini31flashlite,BINF,C6-E-C6-EX,gamma,575,0.022774430208651802,0.0019192248999825774,0.045184099664255954,0.031796820317968204,158,0.22257774222577742
openai_gpt54mini,B1,C4R-C4,alpha,575,0.026393680407925,-1.7119229216034784e-05,0.05529375580990526,0.050594940505949405,252,0.19358064193580643
openai_gpt54mini,BINF,C4R-C4,alpha,575,0.07236468048287863,0.02899837120869712,0.1188697255728643,0.00019998000199980003,0,0.0015998400159984002
openai_gpt54mini,B1,C5-C4,alpha,575,0.012912511776216704,-0.046373587307882505,0.07246641433541137,0.6679332066793321,3339,0.6679332066793321
openai_gpt54mini,BINF,C5-C4,alpha,575,-0.06795106667476163,-0.13778698931492184,0.0010849156202744497,0.05399460053994601,9731,0.19358064193580643
openai_gpt54mini,B1,C6-E-C4R,alpha,575,0.1003235457966653,0.03682016073152844,0.1630541692852775,0.0023997600239976003,11,0.011998800119988001
openai_gpt54mini,BINF,C6-E-C4R,alpha,575,0.21419914250720626,0.14150374593800621,0.29175090459784103,0.00019998000199980003,0,0.0015998400159984002
openai_gpt54mini,B1,C6-E-C6-EX,alpha,575,0.11462877777824484,0.044324019127091885,0.18640573546832384,0.0013998600139986002,6,0.008399160083991601
openai_gpt54mini,BINF,C6-E-C6-EX,alpha,575,0.07665839148911478,0.0007427904222227031,0.15436693248628605,0.04839516048395161,241,0.19358064193580643
openai_gpt54mini,B1,C4R-C4,beta,575,-0.002575693004872514,-0.014144547945534066,0.004447262705477048,0.7413258674132587,6294,1.0
openai_gpt54mini,BINF,C4R-C4,beta,575,0.010572450830408616,-0.005048765958274347,0.026990398760621117,0.18238176182381763,911,0.9119088091190881
openai_gpt54mini,B1,C5-C4,beta,575,0.005211503256434854,-0.012989426372367765,0.02033037453163861,0.5227477252274773,2613,1.0
openai_gpt54mini,BINF,C5-C4,beta,575,0.004756885522643336,-0.016303981544175946,0.025004848034249114,0.6333366663333667,3166,1.0
openai_gpt54mini,B1,C6-E-C4R,beta,575,0.02309760481897212,0.0005842816360655679,0.04738110731346189,0.043995600439956005,219,0.30796920307969206
openai_gpt54mini,BINF,C6-E-C4R,beta,575,0.042481643642132395,0.025837130372200614,0.061665814965703884,0.00019998000199980003,0,0.0015998400159984002
openai_gpt54mini,B1,C6-E-C6-EX,beta,575,0.008372862095831815,-0.01588231037331443,0.030981458360766267,0.4881511848815118,2440,1.0
openai_gpt54mini,BINF,C6-E-C6-EX,beta,575,0.010809447690926243,-0.003502267540216803,0.025599609236088405,0.141985801419858,709,0.851914808519148
openai_gpt54mini,B1,C4R-C4,gamma,575,0.0012341025131362554,-0.00572106826101982,0.008847488729091491,0.7417258274172582,3708,1.0
openai_gpt54mini,BINF,C4R-C4,gamma,575,0.017864841718785555,0.007490175220222261,0.030252301971666867,0.0007999200079992001,3,0.005599440055994401
openai_gpt54mini,B1,C5-C4,gamma,575,0.0009542434275145262,-0.02392388401059518,0.026842555807939004,0.9679032096790321,4839,1.0
openai_gpt54mini,BINF,C5-C4,gamma,575,-0.006189352039379848,-0.03614022793615632,0.02423611424182258,0.6933306669333067,6534,1.0
openai_gpt54mini,B1,C6-E-C4R,gamma,575,0.019610246384701845,-0.004855061825405356,0.04297663831777438,0.11578842115788421,578,0.46315368463153683
openai_gpt54mini,BINF,C6-E-C4R,gamma,575,0.07090013003089726,0.03976415522420754,0.1053510361727531,0.00019998000199980003,0,0.0015998400159984002
openai_gpt54mini,B1,C6-E-C6-EX,gamma,575,0.02863403862791834,0.0010782706717362522,0.05781527416445204,0.040995900409959006,204,0.20497950204979504
openai_gpt54mini,BINF,C6-E-C6-EX,gamma,575,0.041174252952824814,0.008392514788412946,0.07436952525224609,0.013598640135986401,67,0.08159184081591841
