analysis,model,oracle,contrast,N_historical,N_v13,estimate_historical,estimate_v13,ci_low_historical,ci_low_v13,ci_high_historical,ci_high_v13,holm_historical,holm_v13,significance_historical,significance_v13,historical_precision,claim_impact
REPAIRED_SUPPLEMENTAL,GEMINI,GAMMA,C6-E-C4R,575,575,0.0186529117606378,0.0186529117606378,-0.0015692114479761,-0.002166766505159,0.0408943335781528,0.0410314109917309,,1.0,False,False,SOURCE_ROW,REVIEW_IF_CHANGED
REPAIRED_SUPPLEMENTAL,GEMINI,ALPHA,C6-E-C6-EX,575,575,0.076525450094166,0.076525450094166,0.0211451135306231,0.0221563399838729,0.1338921467765453,0.1372099547180789,,0.4271572842715728,False,False,SOURCE_ROW,REVIEW_IF_CHANGED
REPAIRED_SUPPLEMENTAL,GEMINI,BETA,C6-E-C6-EX,575,575,0.0269177587159377,0.0269177587159377,0.0121178105798901,0.0121953772862854,0.0463823863114779,0.0462102583847412,,0.023997600239976,False,True,SOURCE_ROW,REVIEW_IF_CHANGED
REPAIRED_SUPPLEMENTAL,GEMINI,GAMMA,C6-E-C6-EX,575,575,0.0309869294845131,0.0309869294845131,0.0102003057063979,0.0102535369351813,0.0537196812533957,0.0529954776732951,,0.183981601839816,False,False,SOURCE_ROW,REVIEW_IF_CHANGED
STABILITY_SUPPLEMENTAL,GEMINI,ALPHA,C4R-C4,575,575,0.0025882232831519,0.0025882232831519,-0.0367830573580916,-0.0367066809021358,0.0425356495004626,0.0420726628882603,,1.0,False,False,SOURCE_ROW,REVIEW_IF_CHANGED
STABILITY_SUPPLEMENTAL,GEMINI,BETA,C4R-C4,575,575,-0.0003332738068853,-0.0003332738068853,-0.0060131038313126,-0.0060164068289286,0.0062004505072243,0.0065319962526573,,1.0,False,False,SOURCE_ROW,REVIEW_IF_CHANGED
STABILITY_SUPPLEMENTAL,GEMINI,GAMMA,C4R-C4,575,575,-0.0038640649743717,-0.0038640649743717,-0.0195094102459012,-0.0198755469227712,0.0124246545699098,0.0122660874424671,,1.0,False,False,SOURCE_ROW,REVIEW_IF_CHANGED
STABILITY_SUPPLEMENTAL,GEMINI,ALPHA,C6-E-C4R,575,575,0.0651959329980058,0.0651959329980058,0.0119646804657033,0.0121103501568181,0.119195876615999,0.1179812425415181,,0.8735126487351264,False,False,SOURCE_ROW,REVIEW_IF_CHANGED
STABILITY_SUPPLEMENTAL,GEMINI,BETA,C6-E-C4R,575,575,0.0128119791693645,0.0128119791693645,0.0028774583719261,0.0028891189903683,0.025736252045502,0.0256810019461549,,0.503949605039496,False,False,SOURCE_ROW,REVIEW_IF_CHANGED
STABILITY_SUPPLEMENTAL,GEMINI,GAMMA,C6-E-C4R,575,575,0.0064970869598595,0.0064970869598595,-0.0119137625460768,-0.0118060721873248,0.023392731726962,0.023710738350018,,1.0,False,False,SOURCE_ROW,REVIEW_IF_CHANGED
REPAIRED_SUPPLEMENTAL,GEMINI,ALPHA,C4R-C4,575,575,0.1427225405629058,0.1427225405629058,0.0880673754257233,0.088880631073941,0.2004253145190328,0.2010210611078233,,0.023997600239976,False,True,SOURCE_ROW,REVIEW_IF_CHANGED
REPAIRED_SUPPLEMENTAL,GEMINI,BETA,C4R-C4,575,575,0.0188831093344678,0.0188831093344678,0.0143239271612774,0.0143767507840022,0.0237391404582806,0.0238531621844733,,0.023997600239976,False,True,SOURCE_ROW,REVIEW_IF_CHANGED
REPAIRED_SUPPLEMENTAL,GEMINI,GAMMA,C4R-C4,575,575,0.0290910945537854,0.0290910945537854,0.0147864884382042,0.0149527206623282,0.0443016037289688,0.0447838251013091,,0.023997600239976,False,True,SOURCE_ROW,REVIEW_IF_CHANGED
REPAIRED_SUPPLEMENTAL,GEMINI,ALPHA,C5-C4,575,575,-0.0714651445584745,-0.0714651445584745,-0.1644215685149075,-0.1625623521063089,0.0193823143040113,0.0189396601783508,,1.0,False,False,SOURCE_ROW,REVIEW_IF_CHANGED
REPAIRED_SUPPLEMENTAL,GEMINI,BETA,C5-C4,575,575,-0.0097248152150484,-0.0097248152150484,-0.0557912685977797,-0.0547864976069791,0.0337580885536849,0.03518031558598,,1.0,False,False,SOURCE_ROW,REVIEW_IF_CHANGED
REPAIRED_SUPPLEMENTAL,GEMINI,GAMMA,C5-C4,575,575,-0.0034461906496072,-0.0034461906496072,-0.0395348115548053,-0.0408353407072244,0.0348144905122573,0.0341579546778577,,1.0,False,False,SOURCE_ROW,REVIEW_IF_CHANGED
REPAIRED_SUPPLEMENTAL,GEMINI,ALPHA,C6-E-C4R,575,575,0.0180376742055013,0.0180376742055013,-0.054943151652817,-0.0550144078412456,0.0893792390812384,0.0886475379340702,,1.0,False,False,SOURCE_ROW,REVIEW_IF_CHANGED
REPAIRED_SUPPLEMENTAL,GEMINI,BETA,C6-E-C4R,575,575,0.0049455856284697,0.0049455856284697,-0.0152931540585826,-0.0154924976411849,0.024026526013488,0.024067448099422,,1.0,False,False,SOURCE_ROW,REVIEW_IF_CHANGED
REPAIRED_SUPPLEMENTAL,GEMINI,GAMMA,C6-E-C4R,575,575,0.0071957839822742,0.0071957839822742,-0.0165247460236693,-0.0165951748424635,0.0316880457036064,0.0317987161547708,,1.0,False,False,SOURCE_ROW,REVIEW_IF_CHANGED
REPAIRED_SUPPLEMENTAL,GEMINI,ALPHA,C6-E-C6-EX,575,575,0.0576216387179675,0.0576216387179675,-0.0060573512142293,-0.0068880761865115,0.1227755874714598,0.1230815544991346,,1.0,False,False,SOURCE_ROW,REVIEW_IF_CHANGED
REPAIRED_SUPPLEMENTAL,GEMINI,BETA,C6-E-C6-EX,575,575,0.0137132409204537,0.0137132409204537,-0.0027959549813506,-0.0025189664469208,0.0304596705361694,0.0302545092406004,,1.0,False,False,SOURCE_ROW,REVIEW_IF_CHANGED
REPAIRED_SUPPLEMENTAL,GEMINI,GAMMA,C6-E-C6-EX,575,575,0.0098212095856971,0.0098212095856971,-0.0161130957274127,-0.0152460417515731,0.0360368637450512,0.0356958603783883,,1.0,False,False,SOURCE_ROW,REVIEW_IF_CHANGED
STABILITY_SUPPLEMENTAL,GEMINI,ALPHA,C4R-C4,575,575,0.1150247223394299,0.1150247223394299,0.0676493532067771,0.069165343892748,0.1682138474899321,0.1668198660030856,,0.0191980801919808,False,True,SOURCE_ROW,REVIEW_IF_CHANGED
STABILITY_SUPPLEMENTAL,GEMINI,BETA,C4R-C4,575,575,0.0347038551005181,0.0347038551005181,0.0144943081066796,0.0145957563278472,0.06003779714425,0.0595543644973029,,0.0191980801919808,False,True,SOURCE_ROW,REVIEW_IF_CHANGED
STABILITY_SUPPLEMENTAL,GEMINI,GAMMA,C4R-C4,575,575,0.0271389797500414,0.0271389797500414,0.0110901192420984,0.0114221602626928,0.0448719118583039,0.044708259692393,,0.0431956804319568,False,True,SOURCE_ROW,REVIEW_IF_CHANGED
STABILITY_SUPPLEMENTAL,GEMINI,ALPHA,C6-E-C4R,575,575,0.0586446525913185,0.0586446525913185,-0.0121303740729655,-0.0137761454384054,0.1321066385693711,0.1315796217676044,,1.0,False,False,SOURCE_ROW,REVIEW_IF_CHANGED
STABILITY_SUPPLEMENTAL,GEMINI,BETA,C6-E-C4R,575,575,-0.0037627747426372,-0.0037627747426372,-0.0324605558338247,-0.0319351809309988,0.0211782811727897,0.0216426286534356,,1.0,False,False,SOURCE_ROW,REVIEW_IF_CHANGED
STABILITY_SUPPLEMENTAL,GEMINI,GAMMA,C6-E-C4R,575,575,0.0224447176496353,0.0224447176496353,-0.003032950247337,-0.0030046902400952,0.0488869193657261,0.0483770942992429,,1.0,False,False,SOURCE_ROW,REVIEW_IF_CHANGED
REPAIRED_SUPPLEMENTAL,GPT,ALPHA,C4R-C4,575,575,0.0047476423535253,0.0047476423535253,0.0,0.0,0.0121707599636332,0.0121707599636332,,1.0,False,False,SOURCE_ROW,REVIEW_IF_CHANGED
REPAIRED_SUPPLEMENTAL,GPT,BETA,C4R-C4,575,575,0.0007369742693598,0.0007369742693598,0.0001173257684609,0.0001156281656019,0.0016492292887886,0.0016359941964637,,0.3821617838216177,False,False,SOURCE_ROW,REVIEW_IF_CHANGED
REPAIRED_SUPPLEMENTAL,GPT,GAMMA,C4R-C4,575,575,4.523435442894444e-05,4.523435442894444e-05,-0.0007179394935486,-0.0007179394935486,0.0008536425568355,0.0008536425568355,,1.0,False,False,SOURCE_ROW,REVIEW_IF_CHANGED
REPAIRED_SUPPLEMENTAL,GPT,ALPHA,C5-C4,575,575,0.0786980069334217,0.0786980069334217,-0.0114539352830117,-0.0096528567698692,0.1690571858920199,0.1692092034380571,,1.0,False,False,SOURCE_ROW,REVIEW_IF_CHANGED
