table_id,row_id,chapter,analysis_id,statistical_path,model,oracle,reasoning_regime,execution_policy,population,action_space,budget,information_condition,lhs,rhs,N,estimate,ci_low,ci_high,raw_p,holm_p,canonical_file,canonical_key_sha256
PRIMARY,PRIMARY_015,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,google_gemini31flashlite,beta,BASELINE,STRICT,ITT,FREE8,BINF,IC-b,C6,E-C6-EX,575,0.0137132409204537,-0.0022029273158679,0.0303669582994076,0.0901909809019098,0.450954904509549,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_016,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,google_gemini31flashlite,gamma,BASELINE,STRICT,ITT,FREE8,B1,IC-b,C4R,C4,575,-0.0074764014747987,-0.0254493420107876,0.0088989172301309,0.4053594640535946,1.0,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_017,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,google_gemini31flashlite,gamma,BASELINE,STRICT,ITT,FREE8,BINF,IC-b,C4R,C4,575,0.0290910945537854,0.0149272295850578,0.0449582475955867,0.0003999600039996,0.0031996800319968,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_018,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,google_gemini31flashlite,gamma,BASELINE,STRICT,ITT,FREE8,B1,IC-b,C5,C4,575,0.0320760658804888,0.0052086074698432,0.0596771715114232,0.0197980201979802,0.1385861413858614,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_019,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,google_gemini31flashlite,gamma,BASELINE,STRICT,ITT,FREE8,BINF,IC-b,C5,C4,575,-0.0034461906496072,-0.0408506915219613,0.0343094979764421,0.8461153884611539,1.0,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_020,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,google_gemini31flashlite,gamma,BASELINE,STRICT,ITT,FREE8,B1,IC-b,C6,E-C4R,575,0.0090258705936146,-0.0083135322290331,0.0271695748380281,0.3027697230276972,1.0,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_021,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,google_gemini31flashlite,gamma,BASELINE,STRICT,ITT,FREE8,BINF,IC-b,C6,E-C4R,575,0.0071957839822742,-0.017557618831736,0.0323215070014559,0.5661433856614339,1.0,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_022,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,google_gemini31flashlite,gamma,BASELINE,STRICT,ITT,FREE8,B1,IC-b,C6,E-C6-EX,575,0.0113908400860193,-0.0097987048373088,0.0329593533639683,0.2887711228877112,1.0,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_023,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,google_gemini31flashlite,gamma,BASELINE,STRICT,ITT,FREE8,BINF,IC-b,C6,E-C6-EX,575,0.0098212095856971,-0.0156580798914577,0.0355717049592623,0.4493550644935506,1.0,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
PRIMARY,PRIMARY_024,5/6,PRIMARY_PRODUCTION,PRIMARY_PRODUCTION_STREAM,openai_gpt54mini,alpha,BASELINE,STRICT,ITT,FREE8,B1,IC-b,C4R,C4,575,0.1692620467326202,0.1149640479613146,0.2293257207025353,0.0001999800019998,0.0015998400159984,frozen_inputs/stage8/V13_BASELINE_STRICT_PRIMARY_FULLSTREAM.csv,
