analysis_id,reasoning_regime,model,budget,information_condition,action_space,execution_policy,population,oracle,contrast,N,c4_usable_n,c4_unusable_n,as_executed_mean,parent_gate_mean,difference_gate_minus_actual,changed_firms
PARENT_GATE_SENSITIVITY,BASELINE,GPT,B1,IC-b,FREE8,STRICT,ITT_575,ALPHA,C6-E-C4R,575,255,320,0.03752698838838521,0.020864269719238323,-0.016662718669146887,81
PARENT_GATE_SENSITIVITY,BASELINE,GPT,B1,IC-b,FREE8,STRICT,ITT_575,ALPHA,C6-E-C6-EX,575,255,320,0.17419159018780903,0.10161670370369354,-0.07257488648411549,85
PARENT_GATE_SENSITIVITY,BASELINE,GPT,B1,IC-b,FREE8,STRICT,ITT_575,BETA,C5-C4,575,255,320,0.048196001474410055,0.048196001474410055,0.0,0
PARENT_GATE_SENSITIVITY,BASELINE,GPT,B1,IC-b,FREE8,STRICT,ITT_575,BETA,C4R-C4,575,255,320,0.02137747610494546,-5.512227629069198e-06,-0.02138298833257453,116
PARENT_GATE_SENSITIVITY,BASELINE,GPT,B1,IC-b,FREE8,STRICT,ITT_575,BETA,C6-E-C4R,575,255,320,0.0223787454007273,0.007650400765410877,-0.014728344635316424,172
PARENT_GATE_SENSITIVITY,BASELINE,GPT,B1,IC-b,FREE8,STRICT,ITT_575,BETA,C6-E-C6-EX,575,255,320,0.02137248101847773,0.013874299782573691,-0.007498181235904037,166
PARENT_GATE_SENSITIVITY,BASELINE,GPT,B1,IC-b,FREE8,STRICT,ITT_575,GAMMA,C5-C4,575,255,320,0.05312720638821189,0.05312720638821189,0.0,0
PARENT_GATE_SENSITIVITY,BASELINE,GPT,B1,IC-b,FREE8,STRICT,ITT_575,GAMMA,C4R-C4,575,255,320,0.047781173175033574,-0.000304184012315135,-0.04808535718734871,68
PARENT_GATE_SENSITIVITY,BASELINE,GPT,B1,IC-b,FREE8,STRICT,ITT_575,GAMMA,C6-E-C4R,575,255,320,0.011419183056277713,0.0023031409327194914,-0.00911604212355822,105
PARENT_GATE_SENSITIVITY,BASELINE,GPT,B1,IC-b,FREE8,STRICT,ITT_575,GAMMA,C6-E-C6-EX,575,255,320,0.039961175501286444,0.013048510898263158,-0.026912664603023287,91
PARENT_GATE_SENSITIVITY,BASELINE,GPT,BINF,IC-b,FREE8,STRICT,ITT_575,ALPHA,C5-C4,575,419,156,0.10111825599109216,0.10111825599109216,0.0,0
PARENT_GATE_SENSITIVITY,BASELINE,GPT,BINF,IC-b,FREE8,STRICT,ITT_575,ALPHA,C4R-C4,575,419,156,0.13664205654953837,-0.0015939081492299168,-0.13823596469876828,74
PARENT_GATE_SENSITIVITY,BASELINE,GPT,BINF,IC-b,FREE8,STRICT,ITT_575,ALPHA,C6-E-C4R,575,419,156,0.14720173862104483,0.13581094343274433,-0.011390795188300495,54
PARENT_GATE_SENSITIVITY,BASELINE,GPT,BINF,IC-b,FREE8,STRICT,ITT_575,ALPHA,C6-E-C6-EX,575,419,156,0.1269734147374839,0.09700097666899411,-0.029972438068489773,60
